iter	Passed	Remaining
0	8	4381
1	16	4200
2	25	4305
3	34	4324
4	43	4345
5	55	4556
6	63	4476
7	72	4469
8	80	4416
9	89	4402
10	98	4375
11	108	4416
12	117	4391
13	128	4455
14	138	4485
15	147	4462
16	156	4446
17	164	4407
18	175	4434
19	184	4431
20	194	4438
21	205	4462
22	215	4461
23	224	4461
24	234	4458
25	244	4452
26	254	4453
27	263	4446
28	274	4458
29	284	4456
30	293	4436
31	303	4442
32	313	4435
33	323	4439
34	334	4442
35	344	4438
36	353	4427
37	362	4407
38	373	4415
39	383	4405
40	393	4404
41	403	4401
42	413	4399
43	425	4406
44	436	4412
45	447	4419
46	458	4415
47	467	4403
48	477	4396
49	487	4391
50	497	4376
51	507	4375
52	517	4365
53	526	4349
54	535	4334
55	546	4331
56	556	4324
57	566	4316
58	575	4299
59	583	4282
60	594	4278
61	604	4272
62	615	4267
63	624	4257
64	635	4255
65	648	4264
66	658	4256
67	668	4248
68	678	4239
69	688	4228
70	699	4228
71	709	4216
72	719	4207
73	729	4202
74	740	4194
75	751	4190
76	763	4193
77	773	4183
78	782	4172
79	792	4160
80	802	4151
81	812	4140
82	821	4127
83	831	4118
84	844	4122
85	854	4113
86	865	4110
87	876	4102
88	885	4088
89	894	4074
90	904	4065
91	914	4057
92	926	4052
93	936	4046
94	947	4040
95	957	4030
96	967	4020
97	977	4010
98	987	4000
99	998	3992
100	1007	3980
101	1018	3973
102	1028	3962
103	1038	3953
104	1049	3946
105	1060	3943
106	1070	3930
107	1079	3918
108	1088	3905
109	1098	3895
110	1107	3881
111	1117	3871
112	1127	3861
113	1136	3849
114	1147	3842
115	1158	3834
116	1167	3822
117	1177	3812
118	1186	3799
119	1197	3791
120	1206	3779
121	1216	3770
122	1228	3764
123	1237	3752
124	1248	3744
125	1259	3737
126	1268	3726
127	1278	3717
128	1288	3706
129	1299	3698
130	1309	3687
131	1319	3678
132	1331	3675
133	1342	3666
134	1352	3657
135	1362	3647
136	1372	3637
137	1382	3626
138	1392	3616
139	1402	3605
140	1410	3592
141	1419	3579
142	1430	3570
143	1441	3563
144	1450	3551
145	1461	3543
146	1472	3536
147	1482	3527
148	1493	3519
149	1504	3510
150	1514	3499
151	1524	3491
152	1534	3481
153	1545	3471
154	1555	3461
155	1565	3451
156	1574	3440
157	1583	3428
158	1593	3417
159	1604	3409
160	1614	3398
161	1624	3390
162	1634	3379
163	1645	3370
164	1655	3361
165	1666	3352
166	1675	3341
167	1686	3332
168	1694	3319
169	1705	3310
170	1714	3298
171	1724	3289
172	1734	3279
173	1744	3268
174	1753	3257
175	1762	3244
176	1772	3234
177	1782	3223
178	1792	3213
179	1801	3203
180	1811	3192
181	1821	3183
182	1831	3173
183	1842	3163
184	1852	3153
185	1861	3142
186	1872	3133
187	1881	3122
188	1892	3113
189	1902	3103
190	1912	3093
191	1923	3085
192	1933	3075
193	1942	3063
194	1953	3055
195	1963	3045
196	1974	3036
197	1984	3026
198	1994	3016
199	2004	3007
200	2014	2996
201	2024	2985
202	2034	2975
203	2043	2965
204	2054	2957
205	2068	2951
206	2077	2940
207	2087	2930
208	2098	2921
209	2107	2910
210	2118	2901
211	2128	2892
212	2138	2881
213	2149	2872
214	2159	2862
215	2170	2853
216	2179	2842
217	2189	2831
218	2200	2822
219	2209	2812
220	2220	2803
221	2231	2793
222	2240	2783
223	2252	2774
224	2262	2765
225	2272	2754
226	2281	2744
227	2290	2733
228	2301	2723
229	2310	2712
230	2320	2701
231	2329	2691
232	2339	2681
233	2349	2670
234	2359	2660
235	2369	2650
236	2379	2640
237	2388	2629
238	2399	2620
239	2408	2609
240	2419	2600
241	2429	2590
242	2439	2580
243	2449	2570
244	2460	2560
245	2470	2551
246	2481	2541
247	2490	2530
248	2500	2520
249	2510	2510
250	2519	2499
251	2528	2488
252	2539	2478
253	2549	2469
254	2559	2459
255	2570	2449
256	2580	2439
257	2589	2428
258	2598	2418
259	2609	2409
260	2618	2398
261	2629	2388
262	2638	2377
263	2648	2367
264	2660	2359
265	2670	2349
266	2680	2339
267	2689	2328
