iter	Logloss
0	0.691803157
1	0.6907138047
2	0.6898075669
3	0.6890425656
4	0.6884204948
5	0.6878966671
6	0.6874639524
7	0.6871053906
8	0.6867715031
9	0.6865129136
10	0.6862730707
11	0.6860822521
12	0.6858921666
13	0.6857380154
14	0.6855959156
15	0.6854759671
16	0.685335628
17	0.6852267601
18	0.6851339386
19	0.6850252477
20	0.6849496118
21	0.684871604
22	0.6847981381
23	0.6847341699
24	0.6846450431
25	0.6845689625
26	0.6845020103
27	0.6844049362
28	0.6843453381
29	0.6842857681
30	0.6842451986
31	0.6842015166
32	0.6841533886
33	0.6841035834
34	0.6840472804
35	0.683967129
36	0.6838933642
37	0.6838430008
38	0.683782071
39	0.6837166851
40	0.6836753068
41	0.6836098254
42	0.6835545624
43	0.6834978945
44	0.6834619853
45	0.6833992221
46	0.6833443629
47	0.6832927232
48	0.6832393138
49	0.6831736441
50	0.6831067511
51	0.6830252185
52	0.6829584867
53	0.682885347
54	0.6828345218
55	0.6827491053
56	0.6826860025
57	0.6826249168
58	0.6825410334
59	0.6824832939
60	0.6824111521
61	0.6823762066
62	0.6823421868
63	0.6823120743
64	0.6822601628
65	0.6822015809
66	0.6821553858
67	0.6820931175
68	0.682034133
69	0.6819705829
70	0.6819310163
71	0.6818876094
72	0.6818303465
73	0.6817791819
74	0.681742269
75	0.6816900571
76	0.6816350302
77	0.681581312
78	0.6815509114
79	0.6814879148
80	0.6814111969
81	0.6813793409
82	0.6813199697
83	0.6812474888
84	0.6812120042
85	0.6811286987
86	0.6810458193
87	0.6809975794
88	0.6809481189
89	0.6808942388
90	0.6808484598
91	0.6807937448
92	0.6807055479
93	0.6806595262
94	0.6805838829
95	0.6805346828
96	0.6804541948
97	0.6804070999
98	0.6803833701
99	0.6803388984
100	0.6803013249
101	0.6802480785
102	0.6802041258
103	0.6801489718
104	0.680091123
105	0.6800386744
106	0.6799701363
107	0.6799183449
108	0.6798561679
109	0.6798102901
110	0.6797768678
111	0.6797403513
112	0.6796840009
113	0.6795946373
114	0.679570694
115	0.6795470635
116	0.6795152615
117	0.6794746412
118	0.6794341089
119	0.6793854292
120	0.6793346198
121	0.6793041869
122	0.6792439218
123	0.6792042419
124	0.6791444781
125	0.6790905096
126	0.6790427538
127	0.6789945526
128	0.6789562995
129	0.6789047835
130	0.678874333
131	0.6788343333
132	0.6788011823
133	0.6787137913
134	0.6786740753
135	0.6786156184
136	0.678577721
137	0.6785166687
138	0.6784837003
139	0.678429334
140	0.6783811254
141	0.6783121089
142	0.6782748032
143	0.6782302422
144	0.678186802
145	0.6781466381
146	0.6781109477
147	0.6780724989
148	0.6780410342
149	0.6779899506
150	0.6779323471
151	0.6778895441
152	0.6778559679
153	0.6778218452
154	0.6777892562
155	0.6777342711
156	0.6777078989
157	0.6776708243
158	0.6776385874
159	0.677614305
160	0.677591677
161	0.6775633552
162	0.6775313562
163	0.6774985445
164	0.6774485063
165	0.6773588262
166	0.6773310319
167	0.6772749495
168	0.6772277967
169	0.677166451
170	0.6771314822
171	0.6771059431
172	0.6770325046
173	0.6770016946
174	0.6769561388
175	0.6768894575
176	0.6768536969
177	0.6768253129
178	0.6767820563
179	0.67672881
180	0.6766900501
181	0.6766173035
182	0.6765658422
183	0.6765079891
184	0.676475764
185	0.6764414531
186	0.6763819286
187	0.6763072164
188	0.6762366241
189	0.6762088457
190	0.6761696157
191	0.6761180065
192	0.6760669775
193	0.6760110333
194	0.6759598698
195	0.6758904344
196	0.6758410286
197	0.675794261
198	0.6757387949
199	0.6756738287
200	0.6756377507
201	0.6756017544
202	0.6755243901
203	0.6754829244
204	0.6754428775
205	0.6754117998
206	0.6753767787
207	0.6753296214
208	0.6752728507
209	0.6752247649
210	0.6751927155
211	0.6751546062
212	0.6751227455
213	0.6751012033
214	0.6750579039
215	0.6750137031
216	0.6749628099
217	0.67492843
218	0.6748906497
219	0.6748540521
220	0.6748158405
221	0.6747854756
222	0.6747433022
223	0.6746859143
224	0.6746204123
225	0.6745763865
226	0.6745435132
227	0.6744788215
228	0.6744378335
229	0.6743654521
230	0.6743148232
231	0.6742721305
232	0.6742129167
233	0.6741678072
234	0.674097804
235	0.6740467348
236	0.6739951872
237	0.6739461985
238	0.6739010719
239	0.6738472587
240	0.6737965873
241	0.6737439815
242	0.6736976925
243	0.6736421063
244	0.673609581
245	0.67356536
246	0.6735287157
247	0.6735073799
248	0.6734630039
249	0.6734328766
250	0.6733782855
251	0.6733333075
252	0.6732687751
253	0.6732161531
254	0.6731789606
255	0.6731123514
256	0.6730569371
257	0.6730277605
258	0.6729697271
259	0.672929321
260	0.6728782618
261	0.6728364575
262	0.6727907152
263	0.6727600875
264	0.6727408884
265	0.672715297
266	0.6726874216
267	0.6726207836
268	0.6725836365
269	0.67253987
270	0.6724972896
271	0.6724475657
272	0.6723883546
273	0.6723642198
274	0.6723297235
275	0.6722971053
276	0.6722275771
277	0.6721819305
278	0.6721377816
279	0.6720939408
280	0.6720719013
281	0.672036386
282	0.6719918474
283	0.671975719
284	0.6719352903
285	0.6718746261
286	0.6718374017
287	0.6717944634
288	0.6717338945
289	0.6717129645
290	0.671680547
291	0.6716568366
292	0.6716211489
293	0.6715647023
294	0.6715287185
295	0.6715005497
296	0.6714414453
297	0.6714017728
298	0.6713579819
299	0.671325404
300	0.671272956
301	0.6712525219
302	0.6712117487
303	0.6711769843
304	0.6711410562
305	0.6711004807
306	0.671082842
307	0.6710363651
308	0.6709803264
309	0.6709327534
310	0.6709140342
311	0.670868466
312	0.6708329222
313	0.6708008534
314	0.6707702361
315	0.6707293979
316	0.6707056413
317	0.6706786428
318	0.6706474368
319	0.670580826
320	0.6705241156
321	0.6704753304
322	0.6704457831
323	0.6703851314
324	0.6703404537
325	0.6702981635
326	0.6702801195
327	0.6702324895
328	0.6701992207
329	0.6701279564
330	0.6700709915
331	0.6700363844
332	0.669976005
333	0.6699299707
334	0.669872728
