iter	Passed	Remaining
0	6	6568
1	12	6187
2	17	5774
3	22	5558
4	27	5388
5	32	5450
6	37	5382
7	43	5416
8	49	5475
9	56	5552
10	62	5576
11	67	5558
12	73	5572
13	79	5589
14	84	5573
15	92	5664
16	99	5758
17	106	5830
18	112	5799
19	118	5813
20	125	5869
21	130	5818
22	136	5784
23	141	5743
24	147	5741
25	153	5744
26	159	5741
27	165	5748
28	171	5754
29	177	5748
30	183	5742
31	188	5704
32	194	5702
33	200	5699
34	206	5703
35	213	5704
36	219	5705
37	225	5698
38	231	5702
39	237	5701
40	242	5682
41	248	5660
42	254	5667
43	261	5674
44	266	5654
45	272	5649
46	278	5640
47	284	5645
48	290	5644
49	297	5647
50	303	5649
51	309	5649
52	316	5655
53	322	5643
54	328	5643
55	334	5643
56	341	5646
57	346	5628
58	352	5625
59	358	5624
60	365	5619
61	370	5601
62	376	5601
63	382	5597
64	388	5593
65	394	5589
66	401	5587
67	407	5584
68	413	5584
69	420	5580
70	425	5565
71	430	5550
72	436	5547
73	443	5545
74	448	5536
75	454	5520
76	459	5509
77	465	5498
78	471	5496
79	477	5495
80	484	5493
81	489	5484
82	496	5481
83	502	5476
84	508	5471
85	514	5471
86	521	5467
87	526	5456
88	532	5452
89	538	5448
90	545	5444
91	550	5434
92	556	5430
93	563	5427
94	569	5424
95	574	5411
96	581	5409
97	587	5409
98	594	5407
99	600	5405
100	605	5391
101	612	5388
102	617	5378
103	623	5371
104	630	5371
105	635	5358
106	641	5354
107	648	5357
108	655	5355
109	660	5344
110	666	5339
111	672	5334
112	679	5331
113	685	5326
114	691	5320
115	696	5308
116	702	5303
117	709	5300
118	714	5288
119	719	5275
120	725	5272
121	731	5267
122	738	5266
123	744	5261
124	751	5257
125	757	5252
126	763	5248
127	769	5244
128	775	5234
129	781	5229
130	786	5217
131	792	5208
132	798	5206
133	804	5200
134	810	5191
135	816	5186
136	821	5175
137	827	5171
138	833	5161
139	839	5158
140	846	5155
141	852	5152
142	858	5147
143	864	5137
144	870	5134
145	876	5129
146	883	5124
147	889	5121
148	894	5111
149	901	5107
150	907	5103
151	912	5092
152	918	5087
153	924	5078
154	929	5068
155	935	5062
156	941	5057
157	948	5053
158	953	5045
159	960	5041
160	966	5036
161	972	5031
162	978	5022
163	984	5017
164	991	5015
165	997	5010
166	1002	5001
167	1008	4993
168	1014	4988
169	1020	4984
170	1026	4978
171	1032	4971
172	1039	4970
173	1046	4968
174	1053	4964
175	1059	4959
176	1065	4954
177	1071	4949
178	1077	4944
179	1084	4938
180	1091	4936
181	1099	4939
182	1106	4939
183	1113	4936
184	1120	4936
185	1126	4930
186	1134	4932
187	1142	4933
188	1149	4933
189	1155	4924
190	1161	4920
191	1168	4916
192	1173	4908
193	1180	4903
194	1186	4899
195	1193	4895
196	1199	4890
197	1205	4883
198	1211	4875
199	1217	4871
200	1223	4864
201	1229	4858
202	1236	4852
203	1242	4847
204	1249	4843
205	1255	4838
206	1261	4833
207	1267	4827
208	1274	4822
209	1280	4815
210	1286	4811
211	1293	4808
212	1299	4802
213	1305	4796
214	1312	4791
215	1318	4786
216	1325	4781
217	1331	4776
218	1337	4771
219	1343	4762
220	1349	4757
221	1355	4750
222	1361	4744
223	1367	4739
224	1374	4733
225	1380	4728
226	1386	4722
227	1393	4716
228	1399	4711
229	1405	4706
230	1412	4701
231	1417	4693
232	1423	4687
233	1429	4679
234	1436	4674
235	1441	4667
236	1447	4661
237	1453	4652
238	1459	4646
239	1465	4639
240	1471	4634
241	1477	4628
242	1483	4622
243	1490	4617
244	1496	4611
245	1502	4604
246	1508	4598
247	1513	4590
248	1519	4582
249	1525	4576
250	1531	4570
251	1538	4567
252	1545	4561
253	1551	4556
254	1556	4548
255	1563	4543
256	1569	4537
257	1575	4531
258	1582	4526
259	1588	4521
260	1594	4514
261	1601	4510
262	1607	4504
263	1613	4498
264	1618	4490
265	1624	4482
266	1630	4477
267	1637	4472
268	1644	4467
269	1650	4462
270	1656	4455
271	1662	4450
272	1669	4444
273	1675	4439
274	1681	4433
275	1687	4425
276	1693	4420
277	1699	4414
278	1706	4408
279	1711	4401
280	1716	4392
281	1723	4387
282	1729	4381
283	1734	4372
284	1740	4366
285	1746	4360
286	1752	4354
287	1759	4349
288	1765	4343
289	1771	4336
290	1777	4331
291	1783	4325
292	1790	4320
293	1796	4314
294	1802	4307
295	1808	4301
296	1814	4295
297	1821	4290
298	1827	4285
299	1833	4278
300	1839	4272
301	1845	4264
302	1851	4259
303	1857	4253
304	1862	4244
305	1869	4239
306	1874	4230
307	1880	4225
308	1887	4220
309	1893	4215
310	1898	4206
311	1905	4200
312	1911	4195
313	1917	4189
314	1923	4182
315	1928	4174
316	1934	4169
317	1941	4162
318	1948	4159
319	1956	4156
320	1962	4151
321	1968	4145
322	1975	4139
323	1981	4134
324	1987	4128
325	1993	4121
326	1999	4114
327	2005	4108
328	2010	4100
329	2016	4094
330	2023	4089
331	2030	4084
332	2037	4081
333	2043	4075
334	2050	4069
335	2056	4064
336	2063	4059
337	2069	4053
338	2075	4047
339	2082	4041
340	2088	4035
341	2094	4029
342	2101	4024
343	2106	4017
344	2112	4011
345	2119	4005
346	2125	4000
347	2131	3994
348	2138	3988
349	2146	3986
350	2151	3978
351	2157	3972
352	2163	3964
353	2169	3958
354	2175	3952
355	2180	3944
356	2187	3939
357	2193	3933
358	2199	3927
359	2206	3922
360	2211	3914
361	2217	3908
362	2224	3903
363	2230	3896
364	2236	3890
365	2242	3885
366	2248	3878
367	2254	3871
368	2260	3866
369	2267	3860
370	2273	3854
371	2280	3849
372	2286	3843
373	2293	3838
374	2299	3832
375	2304	3824
376	2310	3818
377	2317	3812
378	2323	3806
379	2329	3800
380	2335	3795
381	2342	3789
382	2347	3782
383	2353	3775
384	2359	3768
385	2366	3763
386	2374	3761
387	2380	3755
388	2388	3751
389	2394	3745
390	2401	3740
391	2408	3736
392	2416	3732
393	2423	3727
394	2429	3721
395	2436	3715
396	2442	3709
397	2448	3703
398	2454	3697
399	2461	3691
400	2466	3683
401	2472	3678
402	2479	3672
403	2485	3666
404	2491	3660
405	2497	3653
406	2503	3647
407	2509	3641
408	2515	3635
409	2522	3629
410	2528	3623
411	2534	3616
412	2540	3610
413	2546	3604
414	2552	3598
415	2558	3592
416	2565	3586
417	2571	3580
418	2577	3574
419	2584	3568
420	2589	3561
421	2595	3555
422	2601	3549
423	2608	3543
424	2614	3537
425	2620	3530
426	2626	3524
427	2632	3518
428	2638	3512
429	2645	3506
430	2651	3500
431	2658	3494
432	2664	3488
433	2670	3483
434	2676	3476
435	2682	3470
436	2689	3465
437	2694	3457
438	2701	3451
439	2707	3445
440	2712	3438
441	2718	3432
442	2723	3424
443	2729	3418
444	2736	3412
445	2741	3405
446	2747	3399
447	2754	3393
448	2760	3387
449	2766	3381
450	2773	3375
451	2779	3369
452	2785	3363
453	2791	3357
454	2798	3351
455	2804	3345
456	2810	3339
457	2816	3333
458	2823	3327
459	2829	3321
460	2836	3316
461	2842	3310
462	2848	3304
463	2855	3298
464	2861	3292
465	2868	3286
466	2873	3279
467	2879	3273
468	2885	3267
469	2891	3261
470	2898	3255
471	2904	3249
472	2910	3243
473	2917	3237
474	2923	3231
475	2930	3225
476	2937	3221
477	2945	3216
478	2950	3209
479	2956	3202
480	2961	3195
481	2968	3189
482	2973	3182
483	2979	3176
484	2985	3170
485	2991	3163
486	2997	3157
487	3003	3151
488	3009	3145
489	3016	3139
490	3022	3133
491	3028	3127
492	3034	3121
493	3041	3114
494	3047	3109
495	3054	3103
496	3059	3096
497	3065	3090
498	3071	3084
499	3078	3078
500	3084	3072
501	3090	3065
502	3096	3059
503	3103	3054
504	3110	3048
505	3116	3042
506	3123	3036
507	3129	3031
508	3136	3025
509	3142	3019
510	3149	3013
511	3155	3007
512	3162	3001
513	3168	2995
514	3174	2989
515	3180	2983
516	3186	2977
517	3192	2970
518	3197	2963
519	3203	2956
520	3209	2950
521	3214	2943
522	3220	2937
523	3227	2931
524	3233	2925
525	3239	2919
526	3245	2913
527	3251	2906
528	3256	2899
529	3262	2892
530	3267	2885
531	3272	2879
532	3279	2873
533	3285	2867
534	3290	2860
535	3296	2854
536	3302	2847
537	3308	2841
538	3314	2835
539	3321	2829
540	3327	2823
541	3334	2817
542	3340	2811
543	3346	2804
544	3352	2799
545	3358	2792
546	3364	2786
547	3370	2780
548	3376	2774
549	3382	2767
550	3388	2761
551	3394	2754
552	3400	2748
553	3406	2742
554	3413	2736
555	3419	2730
556	3425	2724
557	3432	2718
558	3437	2712
559	3444	2706
560	3450	2700
561	3456	2694
562	3463	2688
563	3469	2681
564	3475	2676
565	3482	2670
566	3488	2664
567	3494	2658
568	3500	2651
569	3507	2645
570	3512	2639
571	3518	2632
572	3524	2626
573	3531	2620
574	3537	2614
575	3543	2608
576	3549	2602
577	3555	2596
578	3562	2590
579	3568	2584
580	3573	2577
581	3579	2571
582	3586	2565
583	3592	2558
584	3598	2552
585	3605	2546
586	3610	2540
587	3616	2534
588	3623	2528
589	3629	2522
590	3635	2515
591	3641	2509
592	3648	2503
593	3654	2497
594	3661	2491
595	3667	2485
596	3673	2479
597	3680	2473
598	3686	2467
599	3693	2462
600	3699	2455
601	3705	2449
602	3711	2443
603	3717	2437
604	3724	2431
605	3730	2425
606	3736	2419
607	3742	2413
608	3749	2407
609	3755	2401
610	3761	2394
611	3768	2389
612	3774	2383
613	3780	2376
614	3787	2370
615	3793	2364
616	3800	2359
617	3806	2353
618	3812	2346
619	3818	2340
620	3824	2334
621	3829	2327
622	3836	2321
623	3842	2315
624	3848	2309
625	3854	2302
626	3861	2296
627	3867	2290
628	3873	2284
629	3879	2278
630	3884	2271
631	3891	2265
632	3896	2259
633	3902	2252
634	3908	2246
635	3915	2240
636	3923	2235
637	3930	2230
638	3937	2224
639	3943	2218
640	3948	2211
641	3955	2205
642	3961	2199
643	3967	2193
644	3972	2186
645	3979	2180
646	3985	2174
647	3991	2168
648	3996	2161
649	4003	2155
650	4009	2149
651	4016	2143
652	4021	2137
653	4028	2131
654	4033	2124
655	4040	2118
656	4046	2112
657	4052	2106
658	4058	2100
659	4064	2093
660	4070	2087
661	4076	2081
662	4083	2075
663	4089	2069
664	4095	2063
665	4102	2057
666	4108	2050
667	4114	2044
668	4121	2039
669	4127	2032
670	4133	2026
671	4140	2020
672	4146	2014
673	4151	2008
674	4158	2002
675	4163	1995
676	4169	1989
677	4174	1982
678	4181	1976
679	4187	1970
680	4193	1964
681	4200	1958
682	4206	1952
683	4212	1946
684	4217	1939
685	4224	1933
686	4229	1927
687	4235	1920
688	4242	1914
689	4248	1908
690	4255	1902
691	4262	1897
692	4268	1891
693	4275	1885
694	4281	1878
695	4287	1872
696	4294	1866
697	4299	1860
698	4305	1853
699	4310	1847
700	4315	1840
701	4322	1834
702	4328	1828
703	4333	1822
704	4340	1816
705	4345	1809
706	4351	1803
707	4358	1797
708	4364	1791
709	4370	1785
710	4376	1779
711	4383	1772
712	4389	1766
713	4395	1760
714	4400	1754
715	4407	1748
716	4413	1742
717	4419	1735
718	4425	1729
719	4432	1723
720	4438	1717
721	4443	1711
722	4449	1704
723	4455	1698
724	4461	1692
725	4467	1686
726	4472	1679
727	4478	1673
728	4484	1667
729	4491	1661
730	4497	1655
731	4503	1648
732	4510	1642
733	4515	1636
734	4521	1630
735	4528	1624
736	4533	1617
737	4539	1611
738	4545	1605
739	4551	1599
740	4557	1592
741	4563	1586
742	4570	1580
743	4575	1574
744	4580	1567
745	4587	1561
746	4594	1556
747	4600	1549
748	4606	1543
749	4612	1537
750	4619	1531
751	4625	1525
752	4630	1518
753	4636	1512
754	4642	1506
755	4648	1500
756	4654	1494
757	4660	1487
758	4666	1481
759	4672	1475
760	4679	1469
761	4685	1463
762	4692	1457
763	4698	1451
764	4705	1445
765	4710	1438
766	4716	1432
767	4722	1426
768	4728	1420
769	4734	1414
770	4740	1408
771	4747	1401
772	4753	1395
773	4759	1389
774	4766	1383
775	4772	1377
776	4778	1371
777	4783	1365
778	4789	1358
779	4796	1352
780	4802	1346
781	4809	1340
782	4815	1334
783	4820	1328
784	4826	1321
785	4832	1315
786	4839	1309
787	4845	1303
788	4851	1297
789	4856	1290
790	4861	1284
791	4867	1278
792	4872	1272
793	4878	1265
794	4884	1259
795	4890	1253
796	4897	1247
797	4903	1241
798	4911	1235
799	4917	1229
800	4923	1223
801	4930	1217
802	4936	1211
803	4942	1204
804	4949	1198
805	4955	1192
806	4961	1186
807	4967	1180
808	4973	1174
809	4980	1168
810	4986	1162
811	4991	1155
812	4998	1149
813	5003	1143
814	5009	1137
815	5015	1130
816	5021	1124
817	5027	1118
818	5033	1112
819	5039	1106
820	5045	1099
821	5051	1093
822	5056	1087
823	5063	1081
824	5070	1075
825	5076	1069
826	5082	1063
827	5088	1057
828	5094	1050
829	5101	1044
830	5107	1038
831	5113	1032
832	5119	1026
833	5126	1020
834	5132	1014
835	5138	1007
836	5144	1001
837	5150	995
838	5157	989
839	5162	983
840	5168	977
841	5174	970
842	5180	964
843	5186	958
844	5192	952
845	5198	946
846	5204	940
847	5211	934
848	5216	927
849	5221	921
850	5228	915
851	5233	909
852	5239	902
853	5244	896
854	5250	890
855	5257	884
856	5263	878
857	5270	872
858	5276	866
859	5282	859
860	5289	853
861	5295	847
862	5300	841
863	5307	835
864	5312	829
865	5318	822
866	5324	816
867	5329	810
868	5336	804
869	5342	798
870	5348	792
871	5354	786
872	5360	779
873	5367	773
874	5373	767
875	5379	761
876	5385	755
877	5392	749
878	5397	743
879	5404	736
880	5410	730
881	5417	724
882	5423	718
883	5429	712
884	5435	706
885	5442	700
886	5448	694
887	5454	687
888	5461	681
889	5467	675
890	5472	669
891	5479	663
892	5485	657
893	5491	651
894	5497	644
895	5504	638
896	5509	632
897	5516	626
898	5522	620
899	5528	614
900	5535	608
901	5541	602
902	5547	595
903	5554	589
904	5559	583
905	5564	577
906	5570	571
907	5576	564
908	5581	558
909	5587	552
910	5592	546
911	5598	540
912	5603	533
913	5609	527
914	5614	521
915	5621	515
916	5626	509
917	5634	503
918	5640	497
919	5646	490
920	5652	484
921	5659	478
922	5664	472
923	5670	466
924	5675	460
925	5681	454
926	5686	447
927	5693	441
928	5698	435
929	5704	429
930	5710	423
931	5716	417
932	5722	410
933	5728	404
934	5734	398
935	5740	392
936	5746	386
937	5752	380
938	5758	374
939	5764	367
940	5771	361
941	5777	355
942	5783	349
943	5791	343
944	5798	337
945	5804	331
946	5809	325
947	5816	319
948	5822	312
949	5827	306
950	5834	300
951	5840	294
952	5847	288
953	5853	282
954	5858	276
955	5864	269
