iter	Passed	Remaining
0	16	8416
1	36	9045
2	52	8752
3	68	8478
4	82	8158
5	96	7951
6	113	7963
7	130	8008
8	145	7910
9	160	7845
10	174	7770
11	188	7648
12	202	7599
13	218	7592
14	234	7572
15	246	7470
16	261	7431
17	276	7413
18	293	7423
19	312	7494
20	328	7490
21	342	7447
22	356	7384
23	372	7383
24	387	7366
25	404	7369
26	421	7380
27	439	7405
28	454	7385
29	470	7371
30	486	7359
31	503	7360
32	520	7358
33	534	7328
34	552	7336
35	572	7382
36	591	7402
37	610	7417
38	628	7423
39	647	7443
40	666	7459
41	682	7446
42	698	7424
43	715	7413
44	734	7424
45	751	7417
46	768	7410
47	783	7379
48	802	7383
49	818	7363
50	834	7344
51	850	7328
52	867	7312
53	884	7305
54	900	7288
55	916	7268
56	933	7257
57	950	7247
58	969	7244
59	985	7225
60	994	7154
61	1003	7089
62	1011	7018
63	1021	6961
64	1037	6945
65	1057	6951
66	1075	6950
67	1094	6955
68	1112	6947
69	1128	6932
70	1142	6901
71	1151	6846
72	1161	6794
73	1171	6744
74	1180	6691
75	1190	6644
76	1204	6618
77	1214	6569
78	1225	6529
79	1239	6506
80	1248	6456
81	1265	6448
82	1276	6411
83	1289	6386
84	1298	6341
85	1309	6301
86	1327	6303
87	1347	6308
88	1368	6319
89	1386	6314
90	1405	6317
91	1422	6310
92	1440	6303
93	1452	6274
94	1469	6263
95	1486	6257
96	1504	6252
97	1521	6239
98	1538	6231
99	1550	6203
100	1567	6192
101	1580	6167
102	1589	6128
103	1606	6118
104	1623	6106
105	1640	6098
106	1658	6090
107	1674	6076
108	1691	6066
109	1709	6060
110	1725	6046
111	1743	6039
112	1760	6030
113	1775	6012
114	1791	5998
115	1807	5984
116	1825	5975
117	1841	5961
118	1858	5950
119	1876	5942
120	1894	5933
121	1912	5924
122	1928	5909
123	1948	5908
124	1966	5900
125	1984	5891
126	2002	5881
127	2020	5871
128	2036	5858
129	2055	5850
130	2072	5836
131	2088	5821
132	2106	5811
133	2122	5797
134	2137	5778
135	2156	5771
136	2172	5755
137	2188	5740
138	2200	5715
139	2212	5690
140	2223	5661
141	2233	5632
142	2250	5617
143	2264	5599
144	2274	5568
145	2294	5563
146	2314	5558
147	2336	5558
148	2350	5538
149	2371	5534
150	2388	5520
151	2406	5509
152	2424	5498
153	2442	5487
154	2459	5474
155	2476	5462
156	2492	5444
157	2511	5436
158	2529	5423
159	2546	5411
160	2565	5401
161	2584	5392
162	2602	5380
163	2621	5370
164	2638	5357
165	2658	5348
166	2676	5337
167	2693	5322
168	2708	5303
169	2726	5291
170	2742	5276
171	2760	5264
172	2781	5256
173	2799	5244
174	2814	5227
175	2830	5211
176	2849	5199
177	2867	5187
178	2884	5173
179	2900	5156
180	2917	5142
181	2933	5126
182	2951	5113
183	2966	5094
184	2978	5071
185	2990	5049
186	3003	5027
187	3016	5006
188	3032	4990
189	3051	4979
190	3069	4966
191	3087	4953
192	3104	4938
193	3122	4924
194	3140	4912
195	3159	4900
196	3175	4884
197	3193	4870
198	3210	4855
199	3227	4841
200	3244	4826
201	3260	4810
202	3273	4789
203	3287	4770
204	3306	4758
205	3326	4747
206	3345	4734
207	3363	4722
208	3381	4708
209	3395	4688
210	3407	4667
211	3425	4653
212	3442	4638
213	3462	4627
214	3478	4610
215	3487	4585
216	3496	4560
217	3506	4536
218	3522	4520
219	3538	4503
220	3549	4481
221	3559	4456
222	3569	4433
223	3580	4411
224	3589	4387
225	3600	4364
226	3609	4340
227	3625	4325
228	3643	4311
229	3660	4297
230	3679	4284
231	3696	4270
232	3713	4255
233	3729	4239
234	3748	4226
235	3767	4214
236	3787	4203
237	3805	4189
238	3823	4174
239	3843	4163
240	3860	4149
241	3877	4134
242	3890	4114
243	3900	4091
244	3909	4069
245	3919	4046
246	3932	4028
247	3949	4013
248	3964	3996
249	3974	3974
250	3983	3951
251	3993	3929
252	4006	3911
253	4027	3901
254	4046	3887
255	4065	3874
256	4086	3863
257	4105	3850
258	4121	3835
259	4138	3819
260	4155	3805
261	4173	3790
262	4189	3775
263	4206	3760
264	4222	3744
265	4237	3727
266	4256	3714
267	4273	3699
268	4292	3685
269	4308	3669
270	4325	3654
271	4338	3636
272	4354	3620
273	4367	3602
274	4382	3585
275	4401	3571
276	4415	3554
277	4430	3538
278	4447	3523
279	4465	3508
280	4484	3494
281	4501	3480
282	4521	3466
283	4538	3452
284	4556	3437
285	4573	3421
286	4589	3406
287	4608	3392
288	4624	3376
289	4640	3360
290	4658	3345
291	4677	3331
292	4697	3318
293	4715	3304
294	4732	3288
295	4752	3275
296	4768	3259
297	4787	3244
298	4802	3228
299	4818	3212
300	4835	3196
301	4852	3181
302	4871	3167
303	4888	3151
304	4907	3137
305	4921	3120
306	4936	3103
307	4954	3088
308	4972	3073
309	4989	3058
310	5006	3042
311	5019	3024
312	5037	3009
313	5055	2994
314	5073	2979
315	5094	2966
316	5112	2951
317	5129	2935
318	5147	2920
319	5163	2904
320	5180	2888
321	5197	2873
322	5215	2857
323	5234	2843
324	5252	2828
325	5268	2811
326	5285	2796
327	5303	2781
328	5322	2766
329	5339	2750
330	5359	2736
331	5378	2721
332	5394	2705
333	5409	2688
334	5418	2668
335	5434	2652
336	5453	2637
337	5470	2621
338	5489	2607
339	5506	2591
340	5524	2576
341	5546	2562
342	5563	2546
343	5581	2531
344	5597	2514
345	5612	2497
346	5629	2482
347	5646	2466
348	5657	2447
349	5666	2428
350	5677	2409
351	5686	2390
352	5706	2376
353	5724	2361
354	5744	2346
355	5760	2329
356	5777	2314
357	5796	2299
358	5815	2284
359	5834	2269
360	5849	2252
361	5866	2236
362	5883	2220
363	5900	2204
364	5918	2189
365	5935	2173
366	5951	2156
367	5966	2140
368	5982	2124
369	5998	2107
370	6014	2091
371	6029	2074
372	6048	2059
373	6067	2043
374	6082	2027
375	6097	2010
376	6109	1993
377	6119	1975
378	6129	1956
379	6147	1941
380	6167	1926
381	6185	1910
382	6204	1895
383	6223	1879
384	6242	1864
385	6257	1848
386	6274	1832
387	6291	1815
388	6306	1799
389	6324	1783
390	6339	1767
391	6356	1751
392	6373	1735
393	6390	1719
394	6406	1703
395	6424	1687
396	6441	1671
397	6459	1655
398	6472	1638
399	6481	1620
400	6495	1603
401	6511	1587
402	6530	1571
403	6549	1556
404	6567	1540
405	6581	1523
406	6590	1505
407	6611	1490
408	6629	1475
409	6648	1459
410	6666	1443
411	6685	1428
412	6709	1413
413	6726	1397
414	6739	1380
415	6759	1364
416	6768	1347
417	6777	1329
418	6787	1312
419	6799	1295
420	6808	1277
421	6818	1260
422	6835	1244
423	6846	1227
424	6855	1209
425	6864	1192
426	6873	1175
427	6884	1158
428	6894	1141
429	6904	1123
430	6916	1107
431	6934	1091
432	6951	1075
433	6969	1059
434	6987	1044
435	7004	1028
436	7021	1012
437	7038	996
438	7056	980
439	7074	964
440	7092	948
441	7113	933
442	7133	917
443	7152	902
444	7167	885
445	7184	869
446	7199	853
447	7216	837
448	7231	821
449	7239	804
450	7250	787
451	7260	770
452	7270	754
453	7280	737
454	7297	721
455	7313	705
456	7335	690
457	7357	674
458	7378	659
459	7396	643
460	7414	627
461	7430	611
462	7449	595
463	7465	579
464	7482	563
465	7499	547
466	7515	531
467	7531	514
468	7550	499
469	7568	483
470	7584	466
471	7598	450
472	7615	434
473	7632	418
474	7650	402
475	7665	386
476	7681	370
477	7698	354
478	7714	338
479	7730	322
480	7747	306
481	7767	290
482	7783	273
483	7799	257
484	7815	241
485	7832	225
486	7849	209
487	7865	193
488	7881	177
489	7897	161
490	7914	145
491	7932	128
492	7951	112
493	7970	96
494	7987	80
495	8006	64
496	8024	48
497	8042	32
498	8059	16
499	8076	0
